"content_id","language_id"
1,6
1,7
1,13
2,6
2,7
2,13
3,6
3,7
3,13
4,6
4,7
4,13
5,6
5,7
5,13
6,6
6,7
6,13
7,6
7,7
7,13
8,6
8,7
8,13
9,6
9,7
9,13
10,6
10,7
10,13
11,6
11,7
11,13
12,6
12,7
12,13
13,6
13,7
13,13
14,6
14,7
14,13
16,6
16,7
16,13
17,6
17,7
17,13
18,6
18,7
18,13
19,6
19,7
19,13
20,6
20,7
20,13
21,6
21,7
21,13
22,6
22,7
22,13
23,6
23,7
23,13
24,6
24,7
24,13
25,6
25,7
25,13
26,6
26,7
26,13
27,6
27,7
27,13
28,6
28,7
28,13
29,6
29,7
29,13
30,6
30,7
30,13
31,6
31,7
31,13
32,6
32,7
32,13
33,6
33,7
33,13
34,6
34,7
34,13
35,6
35,7
35,13
36,6
36,7
36,13
37,6
37,7
37,13
38,6
38,7
38,13
39,6
39,7
39,13
40,6
40,7
40,13
41,6
41,7
41,13
42,6
42,7
42,13
43,6
43,7
43,13
44,6
44,7
44,13
45,6
45,7
45,13
46,6
46,7
46,13
47,6
47,7
47,13
48,6
48,7
48,13
49,6
49,7
49,13
50,6
50,7
50,13
51,6
51,7
51,13
52,6
52,7
52,13
53,6
53,7
53,13
54,6
54,7
54,13
55,6
55,7
55,13
56,6
56,7
56,13
57,6
57,7
57,13
58,6
58,7
58,13
59,6
59,7
59,13
60,6
60,7
60,13
61,6
61,7
61,13
62,6
62,7
62,13
63,6
63,7
63,13
64,6
64,7
64,13
65,6
65,7
65,13
66,6
66,7
66,13
67,6
67,7
67,13
68,6
68,7
68,13
69,6
69,7
69,13
70,6
70,7
70,13
71,6
71,7
71,13
72,6
72,7
72,13
73,6
73,7
73,13
74,6
74,7
74,13
75,6
75,7
75,13
76,6
76,7
76,13
79,6
79,7
79,13
80,6
80,7
80,13
81,6
81,7
81,13
82,6
82,7
82,13
1,9
1,38
1,41
1,3
2,9
2,38
2,41
2,3
12,9
12,38
12,41
12,3
13,9
13,38
13,41
13,3
14,9
14,38
14,41
14,3
16,9
16,38
16,41
16,3
17,9
17,38
17,41
17,3
18,9
18,38
18,41
18,3
19,9
19,38
19,41
19,3
20,9
20,38
20,41
85,6
85,7
85,13
86,6
86,7
86,13
87,6
87,7
87,13
88,6
88,7
88,13
89,6
89,7
89,13
90,6
90,7
90,13
91,6
91,7
91,13
92,6
92,7
92,13
93,6
93,7
93,13
94,6
94,7
94,13
95,6
95,7
95,13
96,6
96,7
96,13
97,6
97,7
97,13
98,6
98,7
98,13
99,6
99,7
99,13
100,6
100,7
100,13
101,6
101,7
101,13
102,6
102,7
102,13
103,6
103,7
103,13
104,6
104,7
104,13
105,6
105,7
105,13
20,3
21,9
21,38
21,41
21,3
22,9
22,38
22,41
22,3
23,9
23,38
23,41
23,3
24,9
24,38
24,41
24,3
25,9
25,38
25,41
25,3
26,9
26,38
26,41
26,3
27,9
27,38
27,41
27,3
28,9
28,38
28,41
28,3
29,9
29,38
29,41
29,3
30,9
30,38
30,41
30,3
31,9
31,38
31,41
31,3
32,9
32,38
32,41
32,3
33,9
33,38
33,41
33,3
34,9
34,38
34,41
34,3
35,9
35,38
35,41
35,3
36,9
36,38
36,41
36,3
37,9
37,38
37,41
37,3
39,9
39,38
39,41
39,3
40,9
40,38
40,41
40,3
41,9
41,38
41,41
41,3
42,9
42,38
42,41
42,3
43,9
43,38
43,41
43,3
44,9
44,38
44,41
44,3
45,9
45,38
45,41
45,3
46,9
46,38
46,41
46,3
47,9
47,38
47,41
47,3
48,9
48,38
48,41
48,3
49,9
49,38
49,41
49,3
50,9
50,38
50,41
50,3
51,9
51,38
51,41
51,3
52,9
52,38
52,41
85,9
85,10
85,8
85,19
86,9
86,10
86,8
86,19
87,9
87,10
87,8
87,18
88,9
88,10
88,8
88,19
89,9
89,10
89,8
89,19
90,9
90,10
90,8
90,18
91,9
91,10
91,8
91,19
92,9
92,10
92,8
92,19
93,9
93,10
93,8
93,19
3,9
3,10
3,8
3,41
4,9
4,10
4,8
4,41
5,9
5,10
5,8
5,41
6,9
6,10
6,8
6,41
7,9
7,10
7,8
7,41
52,3
53,9
53,38
53,41
53,3
54,9
54,38
54,41
54,3
55,9
55,38
55,41
55,3
56,9
56,38
56,41
56,3
57,9
57,38
57,41
57,3
58,9
58,38
58,41
58,3
59,9
59,38
59,41
59,3
60,9
60,38
60,41
60,3
61,9
61,38
61,41
61,3
62,9
62,38
62,41
62,3
63,9
63,38
63,41
63,3
64,9
64,38
64,41
64,3
65,9
65,38
65,41
65,3
111,70
111,6
111,9
112,70
112,13
113,70
113,6
113,23
114,70
114,9
115,70
115,6
115,13
116,70
116,23
117,70
117,6
117,13
118,70
118,9
118,23
119,70
119,6
120,70
120,13
121,70
121,9
121,6
122,70
122,23
122,6
123,70
123,13
124,70
124,9
124,6
125,70
125,23
125,13
126,70
126,6
127,70
127,9
127,13
128,70
128,6
128,23
129,70
129,9
130,70
130,13
130,23
131,70
131,6
132,70
132,13
133,70
133,6
133,9
134,70
134,6
134,13
135,70
135,23
136,70
136,6
136,9
137,70
137,13
138,70
138,23
138,6
139,70
139,13
139,9
140,70
140,23
140,6
